Theme,Opportunity Space,Year Founded,Maturity,Website,Business Description,Funding Stage,Total funding (US$),Region,Country,Company Name,Showing?
Fuel & Energy Efficiency,Energy Efficiency & Storage,2010,Distant,https://tegnology.dk,New materials for thermo electric generation,Funded,,Europe,Denmark,TEGnology,Yes
Fuel & Energy Efficiency,Energy Efficiency & Storage,2014,Emerging,https://wattsuppower.com,Manufacturer of flywheel energy storage systems,Unfunded,,Europe,Denmark,WattsUp Power,Yes
Fuel & Energy Efficiency,New Fuel Types,2019,Distant,https://everfuel.de,Hydrogen-based fueling solutions provider,Funded,,Europe,Denmark,Everfuel,Yes
Fuel & Energy Efficiency,New Vessel Design,2008,Distant,https://bluetechnology.dk/,No Fossil for ship propulsion,Unfunded,,Europe,Denmark,Blue Technology,Yes
Fuel & Energy Efficiency,Renewable Energy,2013,Existing,https://randboats.com,Developer of Electric and solar-powered boats,Unfunded,,Europe,Denmark,RAND Boats,Yes
Fuel & Energy Efficiency,Renewable Energy,2007,Emerging,https://benchmarkpowerintl.org,Developer of thermal plants and utility-scale solar PV plant,Unfunded,,MENA,Egypt,Benchmark Power International,Yes
Fuel & Energy Efficiency,New Fuel Types,2011,Existing,https://firstlightfusion.com,Pulse-powered nuclear fusion process developer,Series B,35400000,Europe,England,First Light Fusion,Yes
Fuel & Energy Efficiency,Energy Efficiency & Storage,2016,Existing,https://faradaygrid.com,Autonomous and responsive transformer like solution,Seed,32530000,Europe,England,Faraday Grid,Yes
Fuel & Energy Efficiency,New Fuel Types,2011,Existing,https://dearman.co.uk,Liquid nitrogen engine technology,Series B,26536000,Europe,England,Dearman,Yes
Fuel & Energy Efficiency,Energy Efficiency & Storage,2010,Existing,https://heliexpower.com,Waste heat and steam to clean electricity,Series B,13994370,Europe,England,Heliex Power,Yes
Fuel & Energy Efficiency,Renewable Energy,2012,Emerging,https://sustainablemarine.com,Tidal energy turbine manufacturer,Series A,11332400,Europe,England,Sustainable Marine Energy,Yes
Fuel & Energy Efficiency,Renewable Energy,2011,Emerging,https://kps.energy,Airborne wind turbine manufacturer,Series A,6341750,Europe,England,Kite Power Solutions,Yes
Fuel & Energy Efficiency,New Fuel Types,2013,Emerging,https://riversimple.com,Hydrogen fuel cell powered car,Seed,2373397,Europe,England,Riversimple,Yes
Fuel & Energy Efficiency,New Fuel Types,2011,Existing,https://cellaenergy.com,Makes hydrogen storage systems,Seed,1767000,Europe,England,Cella Energy,Yes
Fuel & Energy Efficiency,Energy Efficiency & Storage,2017,Emerging,https://greenstorc.com,Low-heat geothermal to energy and industrial waste heat recovery,Seed,1756050,Europe,England,Greenstorc,Yes
Fuel & Energy Efficiency,Energy Efficiency & Storage,2015,Emerging,https://vertrotors.com,Manufacturer of low-vibration Conical Rotary Compressors,Seed,1700000,Europe,England,VERT Rotors,Yes
Fuel & Energy Efficiency,Energy Efficiency & Storage,2012,Existing,https://cenergist.com,Turnkey solutions for energy and water efficiency,Seed,584218,Europe,England,Cenergist,Yes
Fuel & Energy Efficiency,New Fuel Types,2013,Emerging,https://cgon.co.uk,Hydrogen fuel cells,Seed,258751,Europe,England,Cgon,Yes
Fuel & Energy Efficiency,Energy Efficiency & Storage,2016,Emerging,https://oxtoenergy.com,Flywheel energy storage system,Seed,17647,Europe,England,Oxto Energy,Yes
Fuel & Energy Efficiency,Energy Efficiency & Storage,2016,Emerging,https://prognostic.io,Provider of a cognitive diagnostics & decisions engine,Seed,17357,Europe,England,Prognostic,Yes
Fuel & Energy Efficiency,Energy Efficiency & Storage,2010,Existing,https://ctecenergy.co.uk,Electricity from waste heat recovery,Series A,,Europe,England,CTEC Energy,Yes
Fuel & Energy Efficiency,Energy Efficiency & Storage,2015,Emerging,https://dynamon.co.uk,Fuel saving solution for the logistics industry,Funded,,Europe,England,Dynamon,Yes
Fuel & Energy Efficiency,Energy Efficiency & Storage,2009,Existing,https://enginei.co.uk,Provider of energy management solution for maritime industry,Unfunded,,Europe,England,enginei,Yes
Fuel & Energy Efficiency,Energy Efficiency & Storage,2003,Emerging,https://maxsysltd.com,Fuel saving equipment,Acquired,,Europe,England,Maxsys Fuel Systems,Yes
Fuel & Energy Efficiency,Energy Efficiency & Storage,2013,Emerging,https://msf-technologies.com,Developer of energy efficient power convertor and electric motors for EVs and power generation applications,Unfunded,,Europe,England,MSF Technologies,Yes
Fuel & Energy Efficiency,Energy Efficiency & Storage,2017,Distant,https://smartgridltd.co.uk,Smart hardware product for power consumption management,Unfunded,,Europe,England,Smart Grid,Yes
Fuel & Energy Efficiency,New Fuel Types,2015,Existing,https://brambleenergy.com,Developer of proton exchange membrane based fuel cells,Seed,,Europe,England,Bramble Energy,Yes
Fuel & Energy Efficiency,New Fuel Types,2013,Emerging,https://cavendishnuclear.com,"Nuclear project development, installation and decommissioning services provider",Unfunded,,Europe,England,Cavendish Nuclear,Yes
Fuel & Energy Efficiency,New Fuel Types,2010,Existing,https://h2-nrg.co.uk,Technology to develop portable hydrogen generator,Unfunded,,Europe,England,H2 NRG,Yes
Fuel & Energy Efficiency,New Fuel Types,2019,Distant,https://hiiroc.com,Provider of solutions for hydrogen generation and storage,Unfunded,,Europe,England,HiiROC,Yes
Fuel & Energy Efficiency,New Fuel Types,2013,Emerging,https://moltexenergy.com,Molten Salt reactor technology developer,Funded,,Europe,England,Moltex Energy,Yes
Fuel & Energy Efficiency,New Fuel Types,2014,Emerging,https://ulemco.com,Manufacturer of commercial vehicles intended to offer ultra-low emission hydrogen-fueled vehicles,Funded,,Europe,England,ULEMCo,Yes
Fuel & Energy Efficiency,Renewable Energy,2014,Emerging,https://acceleratedwindenergy.com,Vertical axis wind turbine manufacturer and supplier,Unfunded,,Europe,England,Accelerated Wind Energy,Yes
Fuel & Energy Efficiency,Renewable Energy,2012,Existing,https://fullsunpv.com,Concentrated PV module developer,Seed,,Europe,England,Fullsun Photovoltaics,Yes
Fuel & Energy Efficiency,Renewable Energy,2016,Emerging,https://marineenergywales.co.uk,Marine energy generation company,Unfunded,,Europe,England,Marine Energy Wales,Yes
Fuel & Energy Efficiency,Renewable Energy,2012,Emerging,https://autonautusv.com,Developed a wave propelled USV,Series A,,Europe,England,MOST Autonomous Vessels,Yes
Fuel & Energy Efficiency,Renewable Energy,2017,Distant,https://silvertreeenergy.co.uk,Provider of smart boilers and hybrid solar systems,Unfunded,,Europe,England,Silvertree Energy,Yes
Fuel & Energy Efficiency,Renewable Energy,2011,Existing,https://10kwwindturbines.co.uk,Developers of small wind turbines,Unfunded,,Europe,England,Spectrum Energy Systems,Yes
Fuel & Energy Efficiency,Energy Efficiency & Storage,2014,Emerging,https://nivotek.com,Manufacturer of hydrostatic level sensor and magnetic float switch,Unfunded,,Europe,Estonia,Nivotek,Yes
Fuel & Energy Efficiency,New Fuel Types,2018,Distant,https://deneum.com,Decentralized platform offering a nuclear fusion power station,Unfunded,,Europe,Estonia,Deneum,Yes
Fuel & Energy Efficiency,Energy Efficiency & Storage,2012,Emerging,https://norsepower.com,Provider of cargo vessel auxiliary wind propulsion systems to reduce fuel consumption,Series A,23640540,Europe,Finland,Norsepower,Yes
Fuel & Energy Efficiency,Energy Efficiency & Storage,2005,Distant,https://eniram.fi,Fuel saving system for maritime vessels,Acquired,6500000,Europe,Finland,Eniram,Yes
Fuel & Energy Efficiency,Renewable Energy,2009,Emerging,https://ductor.com,Enriching the biogas production by removing nitrogen content,Series A,6299950,Europe,Finland,Ductor,Yes
Fuel & Energy Efficiency,Energy Efficiency & Storage,2013,Distant,https://aureliaturbines.com,Small gas turbine manufacturer,Series A,4519250,Europe,Finland,Aurelia Turbines,Yes
Fuel & Energy Efficiency,Energy Efficiency & Storage,2017,Emerging,https://navidium.com,Provider of maritime IoT solutions,Funded,,Europe,Finland,Navidium,Yes
Fuel & Energy Efficiency,Energy Efficiency & Storage,2010,Existing,https://wetech.fi,Energy efficient shaft generator systems,Unfunded,,Europe,Finland,WE Tech Solutions,Yes
Fuel & Energy Efficiency,Fuel Additives,2010,Emerging,https://nanol.eu,Manufacturer of lubricant nano-additive component for fuels,Seed,,Europe,Finland,Nanol,Yes
Fuel & Energy Efficiency,Renewable Energy,2016,Emerging,https://heliostorage.com,Solar integrated ethanol-based thermal energy storage systems developer,Unfunded,,Europe,Finland,Heliostorage,Yes
Fuel & Energy Efficiency,Energy Efficiency & Storage,2011,Existing,https://forseepower.com,Manufacturer of lithium battery systems for e-vehicles and electronic gadgets,Series B,64612500,Europe,France,Forsee Power,Yes
Fuel & Energy Efficiency,Energy Efficiency & Storage,2013,Existing,https://metronlab.com,Provider of energy performance monitoring solutions for industries,Series A,22730700,Europe,France,METRON,Yes
Fuel & Energy Efficiency,New Fuel Types,2012,Existing,https://ergosup.com,Electrochemical system developer for hydrogen generation,Series A,18300000,Europe,France,Ergosup,Yes
Fuel & Energy Efficiency,Renewable Energy,2011,Existing,https://sunna-design.com,Manufacturer of smart solar street lights,Series B,17683700,Europe,France,Sunna Design,Yes
Fuel & Energy Efficiency,New Vessel Design,2015,Existing,https://seabubbles.fr,Developer of electric marine transport vehicle,Series B,14609590,Europe,France,SeaBubbles,Yes
Fuel & Energy Efficiency,Energy Efficiency & Storage,2013,Emerging,https://cozynergy.com,Energy renovation services to increase energy savings,Series A,6000000,Europe,France,Cozynergy,Yes
Fuel & Energy Efficiency,Energy Efficiency & Storage,2010,Existing,https://safety-line.fr,Fuel Optimization and Safety Management for aviation industry,Series A,3894000,Europe,France,Safety Line,Yes
Fuel & Energy Efficiency,Energy Efficiency & Storage,2009,Emerging,https://exoes.com,Developer of an exhaust heat recovery technology designed to convert heat into electricity,Seed,2733700,Europe,France,Exoes,Yes
Fuel & Energy Efficiency,New Fuel Types,2015,Emerging,https://hysilabs.com,Technology developer for safe storage and transportation of hydrogen,Series A,2236500,Europe,France,HySiLabs,Yes
Fuel & Energy Efficiency,New Vessel Design,2015,Emerging,https://notiloplus.com,Provider of autonomous underwater robotic solution for consumer and industrial use,Series A,2227500,Europe,France,Notilo Plus,Yes
Fuel & Energy Efficiency,Renewable Energy,2014,Emerging,https://powidian.com,Energy solutions for remote areas,Seed,2000000,Europe,France,PowiDian,Yes
Fuel & Energy Efficiency,Renewable Energy,2015,Emerging,https://pytheas-technology.com,Power take off unit for wave energy converters,Seed,1729180,Europe,France,PYTHEAS Technology,Yes
Fuel & Energy Efficiency,New Fuel Types,2010,Existing,https://atollenergy.com,Co-generation systems,Seed,492330,Europe,France,Atoll Energy,Yes
Fuel & Energy Efficiency,Energy Efficiency & Storage,2011,Emerging,https://geps-techno.com,Develops electric production technologies from renewable maritime power.,Unfunded,,Europe,France,Geps Techno,Yes
Fuel & Energy Efficiency,Energy Efficiency & Storage,2018,Emerging,https://maloric.fr,Developer of autonomous maritime traction wings for aquaculture,Funded,,Europe,France,Maloric,Yes
Fuel & Energy Efficiency,Energy Efficiency & Storage,2018,Distant,https://pegasus-pemfc.eu,Developer of a proton exchange membrane based fuel cell,Unfunded,,Europe,France,PEGASUS,Yes
Fuel & Energy Efficiency,Energy Efficiency & Storage,2017,Existing,https://turbotech-aero.com,Developer of energy storage system for aircraft,Series A,,Europe,France,TURBOTECH,Yes
Fuel & Energy Efficiency,New Fuel Types,2012,Existing,https://hdf-energy.com,Hydrogen-based energy storage system developer for grid applications,Unfunded,,Europe,France,HDF Energy,Yes
Fuel & Energy Efficiency,New Fuel Types,2010,Distant,https://symbio.one,Developer of hydrogen fuel cell kits for electric vehicles,Series B,,Europe,France,Symbio,Yes
Fuel & Energy Efficiency,New Fuel Types,2011,Existing,https://wh2.fr,Producer of green hydrogen,Unfunded,,Europe,France,WH2,Yes
Fuel & Energy Efficiency,New Vessel Design,2018,Distant,https://avon-tenders.com,Manufacturer of electric jet tenders,Unfunded,,Europe,France,Avon,Yes
Fuel & Energy Efficiency,Renewable Energy,2013,Emerging,https://coldinnov.com,Energy Efficient Refrigeration system,Funded,,Europe,France,Coldinnov,Yes
Fuel & Energy Efficiency,Renewable Energy,2013,Emerging,https://fertimed.fr,Manufacturer and supplier of plant nutrition products,Unfunded,,Europe,France,Fertimed International,Yes
Fuel & Energy Efficiency,Renewable Energy,2014,Emerging,https://innosea.co.uk,Provider of offshore wind and marine energy products and consulting services,Unfunded,,Europe,France,INNOSEA,Yes
Fuel & Energy Efficiency,Renewable Energy,2014,Emerging,https://projetfuturol.com,Producer of bio-ethanol fuel from green residues,Funded,,Europe,France,Projet Futurol,Yes
Fuel & Energy Efficiency,New Fuel Types,2013,Existing,https://hydrogenious.net,Large scale Hydrogen storage providers,Series A,18949000,Europe,Germany,Hydrogenious Technologies,Yes
Fuel & Energy Efficiency,Energy Efficiency & Storage,2016,Emerging,https://adaptive-balancing.de,Flywheel-based energy storage solution developers,Seed,,Europe,Germany,Adaptive Balancing Power,Yes
Fuel & Energy Efficiency,Energy Efficiency & Storage,2017,Emerging,https://davymarine.com,Hydrogen fuel cell and Li-ion battery based electric propulsion system for marine applications,Funded,,Europe,Germany,DAVY,Yes
Fuel & Energy Efficiency,Energy Efficiency & Storage,2017,Emerging,https://enapter.com,Electrolyser-based grid energy storage system,Funded,,Europe,Germany,Enapter,Yes
Fuel & Energy Efficiency,Energy Efficiency & Storage,2012,Emerging,https://fuelsave.de,Provider of solution to improve fuel efficiency of engines,Funded,,Europe,Germany,FUELSAVE,Yes
Fuel & Energy Efficiency,Energy Efficiency & Storage,2012,Emerging,https://fuelsave-global.com,"Provides designing, development, testing & deployment of efficiency technology",Seed,,Europe,Germany,Fuelsave Global,Yes
Fuel & Energy Efficiency,Energy Efficiency & Storage,2014,Emerging,https://h2fly.de,Developer of lightweight electric aircraft,Unfunded,,Europe,Germany,H2Fly,Yes
Fuel & Energy Efficiency,Energy Efficiency & Storage,2013,Emerging,https://novaprotechnology.com,Nanotechnology & catalyst products for controlled energy consumption,Unfunded,,Europe,Germany,NovaPro Technology,Yes
Fuel & Energy Efficiency,Energy Efficiency & Storage,2010,Emerging,https://oneearth-oneocean.com,Converting marine plastic waste to oil,Funded,,Europe,Germany,One Earth One Ocean,Yes
Fuel & Energy Efficiency,Energy Efficiency & Storage,2008,Existing,https://orcan-energy.com,Provider of waste heat recovery and energy generation systems,Series C,,Europe,Germany,Orcan Energy,Yes
Fuel & Energy Efficiency,Energy Efficiency & Storage,2016,Emerging,https://otego.de,Patented printed thermoelectric generator,Seed,,Europe,Germany,Otego,Yes
Fuel & Energy Efficiency,Energy Efficiency & Storage,2014,Emerging,https://qivalon.de,Fuel planning and management solutions for commercial fleets,Funded,,Europe,Germany,Qivalon,Yes
Fuel & Energy Efficiency,Energy Efficiency & Storage,2013,Emerging,https://steamdrive.de,Waste heat recovery systems,Unfunded,,Europe,Germany,SteamDrive,Yes
Fuel & Energy Efficiency,New Fuel Types,2014,Existing,https://ceragen.org,Solid Oxide Fuel cell developers,Seed,,Europe,Germany,Ceragen,Yes
Fuel & Energy Efficiency,New Fuel Types,2012,Existing,https://fces.de,Fuel Cell based power plant developer,Funded,,Europe,Germany,FuelCell Energy Solutions,Yes
Fuel & Energy Efficiency,Renewable Energy,2016,Emerging,https://airyshop.ch,Bio power plant for air purification,Unfunded,,Europe,Germany,Airy,Yes
Fuel & Energy Efficiency,Renewable Energy,2010,Existing,https://searenergy.com,Turnkey solution provider for offshore wind industry,Unfunded,,Europe,Germany,SeaRenergy,Yes
Fuel & Energy Efficiency,Renewable Energy,2017,Distant,https://solarprint.technology,Manufacturer of pervoskite based solar cell using nano-printing technology,Unfunded,,Europe,Germany,Solar NanoPrinting,Yes
Fuel & Energy Efficiency,Renewable Energy,2016,Emerging,https://omnifert.com,Manufacturer and supplier of fertilizers,Unfunded,,Africa,Ghana,Omnifert,Yes
Fuel & Energy Efficiency,Energy Efficiency & Storage,2013,Emerging,https://bfphellas.com,Developer of nanotechnology based protective coatings,Unfunded,,Europe,Greece,BFPhellas,Yes
Fuel & Energy Efficiency,Energy Efficiency & Storage,2017,Distant,https://fuelics.com,IoT based fuel management platform for multi-industry applications,Unfunded,,Europe,Greece,Fuelics,Yes
Fuel & Energy Efficiency,New Vessel Design,2012,Existing,https://commsignia.com,Vehice to vehicle and infrastructure systems suppliers,Series A,12048307,Europe,Hungary,Commsignia,Yes
Fuel & Energy Efficiency,Energy Efficiency & Storage,2017,Emerging,https://heatventors.com,Provider of heat energy storage systems,Series A,177168,Europe,Hungary,HeatVentors,Yes
Fuel & Energy Efficiency,Energy Efficiency & Storage,2002,Emerging,https://marorka.com,Energy Management System for ocean vessels,Acquired,,Europe,Iceland,Marorka,Yes
Fuel & Energy Efficiency,New Fuel Types,2014,Emerging,https://livguard.com,Manufacturer of automotive batteries and solar products,Series B,65142070,Asia & the Pacific,India,Livguard,Yes
Fuel & Energy Efficiency,Energy Efficiency & Storage,2008,Emerging,https://conceptmedicals.com,Development of medical products and drug delivery using nano technology,Seed,60000000,Asia & the Pacific,India,Concept Medical,Yes
Fuel & Energy Efficiency,Renewable Energy,2009,Emerging,https://somaiya.com,Manufacturer of biofuels and specialty chemicals,Funded,15000000,Asia & the Pacific,India,Godavari Biorefineries,Yes
Fuel & Energy Efficiency,Renewable Energy,2010,Emerging,https://sea6energy.com,Grows and converts seaplants into bio-fuels and soil nutrients,Series A,8883505,Asia & the Pacific,India,Sea6 Energy,Yes
Fuel & Energy Efficiency,New Fuel Types,2014,Emerging,https://log9materials.com,Nanomaterials manufacturing and R&D,Series A,4870970,Asia & the Pacific,India,Log9materials,Yes
Fuel & Energy Efficiency,Renewable Energy,2008,Emerging,https://aeronsystems.com,IoT technology solutions provider for enterprises.,Series A,1854098,Asia & the Pacific,India,Aeron Systems,Yes
Fuel & Energy Efficiency,Renewable Energy,2013,Emerging,https://igrenenergi.com,Energy optimizer to harvest energy for solar and energy storage products,Seed,1000000,Asia & the Pacific,India,IgrenEnergi Technologies,Yes
Fuel & Energy Efficiency,Energy Efficiency & Storage,2014,Distant,https://prometheanenergy.com,Waste heat recovery products for industrial purposes,Seed,485443,Asia & the Pacific,India,Promethean Energy,Yes
Fuel & Energy Efficiency,Renewable Energy,2011,Emerging,https://greenpowersystems.co.in,Bio-waste to energy conversion,Seed,40000,Asia & the Pacific,India,GPS Renewables,Yes
Fuel & Energy Efficiency,Energy Efficiency & Storage,2014,Emerging,https://admatinnovations.com,Protective surface coating solutions,Unfunded,,Asia & the Pacific,India,Admat Innovations,Yes
Fuel & Energy Efficiency,Energy Efficiency & Storage,2012,Existing,https://appscape.com,Industrial energy and carbon compliance management suite,Unfunded,,Asia & the Pacific,India,AppScape,Yes
Fuel & Energy Efficiency,Energy Efficiency & Storage,2010,Emerging,https://autodynamics.co.in,Developer of military cases and composite cylinders,Funded,,Asia & the Pacific,India,Auto Dynamics,Yes
Fuel & Energy Efficiency,Energy Efficiency & Storage,2008,Emerging,https://biolute.com,Sirolimus coated balloon catheters,Unfunded,,Asia & the Pacific,India,Biolute,Yes
Fuel & Energy Efficiency,Energy Efficiency & Storage,2006,Emerging,https://carbonpod.com,Fuel efficiency monitoring solution for commercial vehicles,Unfunded,,Asia & the Pacific,India,Carbon Pod India,Yes
Fuel & Energy Efficiency,Energy Efficiency & Storage,2014,Emerging,https://fuelark.com,IoT based fuel and asset management solution,Unfunded,,Asia & the Pacific,India,FuelArk,Yes
Fuel & Energy Efficiency,Energy Efficiency & Storage,2019,Distant,https://innokrono.com,Provides nanotechnology based surface coatings,Unfunded,,Asia & the Pacific,India,InnoKrono,Yes
Fuel & Energy Efficiency,Energy Efficiency & Storage,2017,Emerging,https://manastuspace.com,Provider of green propulsion systems for satellites,Unfunded,,Asia & the Pacific,India,Manastu Space,Yes
Fuel & Energy Efficiency,Energy Efficiency & Storage,2008,Emerging,https://nandipl.com,"Manufactures industrial coats, paints and specialty chemicals.",Unfunded,,Asia & the Pacific,India,NANDipl,Yes
Fuel & Energy Efficiency,Energy Efficiency & Storage,2015,Emerging,https://pmwets.com,Manufacturer and supplier of major auto components,Unfunded,,Asia & the Pacific,India,Prince Metal,Yes
Fuel & Energy Efficiency,Energy Efficiency & Storage,2011,Emerging,https://prudensco.com,Developer of proton exchange membrane fuel cell,Unfunded,,Asia & the Pacific,India,Prudensco,Yes
Fuel & Energy Efficiency,Energy Efficiency & Storage,2017,Emerging,https://rezonent.in,Technology solutions proder for energy efficiency,Unfunded,,Asia & the Pacific,India,Rezonent,Yes
Fuel & Energy Efficiency,Energy Efficiency & Storage,2010,Emerging,https://sainergyfuelcellindia.com,Developer of catalyst coated membrane and membrane electrode assembly for fuel cells,Unfunded,,Asia & the Pacific,India,Sainergy Fuel Cell India,Yes
Fuel & Energy Efficiency,Energy Efficiency & Storage,2015,Emerging,https://saveecoenergy.in,Energy efficiency solutions for industries,Unfunded,,Asia & the Pacific,India,Save Eco Energy,Yes
Fuel & Energy Efficiency,Energy Efficiency & Storage,2017,Emerging,https://synledger.com,Provider of blockchain based P2P energy transaction solutions,Unfunded,,Asia & the Pacific,India,Syn Ledger,Yes
Fuel & Energy Efficiency,Energy Efficiency & Storage,2019,Distant,https://technironlimited.com,Technology solution for the conversion of MSW into fuel products,Unfunded,,Asia & the Pacific,India,Techniron,Yes
Fuel & Energy Efficiency,Energy Efficiency & Storage,2015,Emerging,https://zarrots.com,IoT based fuel monitoring solutions,Unfunded,,Asia & the Pacific,India,Zarrots Technology,Yes
Fuel & Energy Efficiency,Energy Efficiency & Storage,2016,Emerging,https://zenithfilters.com,Manufacturer and supplier of filters,Unfunded,,Asia & the Pacific,India,Zenith Filters,Yes
Fuel & Energy Efficiency,New Fuel Types,2012,Emerging,https://ecarbon.co.in,Biofuels from agri waste.,Unfunded,,Asia & the Pacific,India,Banyan Environmental Innovations,Yes
Fuel & Energy Efficiency,New Fuel Types,2006,Emerging,https://bioethanolindia.com,Production of ethanol and varieties of alcoholic intermediates.,Unfunded,,Asia & the Pacific,India,Bioethanol Agro Industries,Yes
Fuel & Energy Efficiency,New Fuel Types,2017,Emerging,https://carstechie.com,Automotive content portal for auto enthusiasts,Unfunded,,Asia & the Pacific,India,Cars Techie,Yes
Fuel & Energy Efficiency,New Fuel Types,2000,Emerging,https://effaa.com,"Suppliers of farm inputs, pharma, bio fuel, & food replacement products",Unfunded,,Asia & the Pacific,India,Effaa Healthylife,Yes
Fuel & Energy Efficiency,New Fuel Types,2018,Emerging,https://eliciusenergy.com,Technology solutions provider for hydrogen fuel cells,Seed,,Asia & the Pacific,India,Elicius,Yes
Fuel & Energy Efficiency,New Fuel Types,2014,Emerging,https://gangabiofuelindustry.com,Manufacturer and exporter of biomass briquettes,Unfunded,,Asia & the Pacific,India,Ganga Biofuel Industry,Yes
Fuel & Energy Efficiency,New Fuel Types,2017,Distant,https://interlight.co.in,Manufacturer of solar powered energy storage products,Unfunded,,Asia & the Pacific,India,Interlight,Yes
Fuel & Energy Efficiency,New Fuel Types,2009,Emerging,https://chhattisgarhbiofuels.com,"Manufacturer, Supplier and Exporter of Biomass briquettes",Unfunded,,Asia & the Pacific,India,M/S Chhattisgarh Bio Fuels,Yes
Fuel & Energy Efficiency,New Fuel Types,2005,Emerging,https://mykotech.com,Culture collection & testing of microorganisms,Funded,,Asia & the Pacific,India,MykoTech,Yes
Fuel & Energy Efficiency,New Fuel Types,2017,Emerging,https://renergybiofuels.com,Producer of biodiesel,Unfunded,,Asia & the Pacific,India,REnergy Biofuels,Yes
Fuel & Energy Efficiency,New Fuel Types,2012,Emerging,https://rexnamo.com,Manufactures electric vehicles and LEDs,Unfunded,,Asia & the Pacific,India,Rexnamo Electro,Yes
Fuel & Energy Efficiency,New Fuel Types,2005,Emerging,https://shirkebiofuels.com,Produces biodiesel from biomass,Unfunded,,Asia & the Pacific,India,Shirke Energy,Yes
Fuel & Energy Efficiency,New Fuel Types,2008,Emerging,https://vayugrid.com,Superior Pongamia crop developer and supply chain provider,Unfunded,,Asia & the Pacific,India,VayuGrid,Yes
Fuel & Energy Efficiency,New Vessel Design,2013,Emerging,https://adarinhybrids.com,Hybrid transmission technology developer,Unfunded,,Asia & the Pacific,India,Adarin ET,Yes
Fuel & Energy Efficiency,Renewable Energy,2008,Emerging,https://abelloncleanenergy.com,Produces biomass pellets and bio-gas,Funded,,Asia & the Pacific,India,Abellon CleanEnergy,Yes
Fuel & Energy Efficiency,Renewable Energy,2011,Emerging,https://agdauters.com,Plasma technology solution provider for waste processing,Unfunded,,Asia & the Pacific,India,AG Dauters,Yes
Fuel & Energy Efficiency,Renewable Energy,2019,Distant,https://battwheelz.com,Provider of EV charging solutions powered by renewable energy,Unfunded,,Asia & the Pacific,India,Battwheelz,Yes
Fuel & Energy Efficiency,Renewable Energy,2015,Emerging,https://cashmydrive.com,Platform for advertising on cars,Unfunded,,Asia & the Pacific,India,Cash My Drive,Yes
Fuel & Energy Efficiency,Renewable Energy,2014,Emerging,https://dronadynamics.com,Technology products in robotics and renewable energy.,Unfunded,,Asia & the Pacific,India,Drona Dynamics,Yes
Fuel & Energy Efficiency,Renewable Energy,2011,Existing,https://ecosoch.com,Solar rooftop installer,Unfunded,,Asia & the Pacific,India,EcoSoch,Yes
Fuel & Energy Efficiency,Renewable Energy,2010,Emerging,https://fidusenergy.com,Provide turnkey solutions for solar rooftop power plants,Unfunded,,Asia & the Pacific,India,Fidus Energy,Yes
Fuel & Energy Efficiency,Renewable Energy,2020,Emerging,https://flashenergysolutions.com,Provider of solutions for portable wind panels,Funded,,Asia & the Pacific,India,Flash Energy Solutions,Yes
Fuel & Energy Efficiency,Renewable Energy,2012,Emerging,https://globalindustries.net.in,Producer of renewable diesel and glycerin,Unfunded,,Asia & the Pacific,India,Global Industries,Yes
Fuel & Energy Efficiency,Renewable Energy,2018,Distant,https://greenecoindia.com,Developer of renewable energy & electric vehicle components,Unfunded,,Asia & the Pacific,India,Green Eco,Yes
Fuel & Energy Efficiency,Renewable Energy,2018,Emerging,https://jsameybiotech.com,Developer of microbial consortia to make food waste degrade faster to convert it into organic manure & bio gas,Funded,,Asia & the Pacific,India,JSAMEY Biotech,Yes
Fuel & Energy Efficiency,Renewable Energy,2014,Emerging,https://limpidtechnologies.com,Manufacturer of multi-scale wind turbines,Unfunded,,Asia & the Pacific,India,Limpid Technologies,Yes
Fuel & Energy Efficiency,Renewable Energy,2014,Emerging,https://msonergie.com,Developers of renewable energy solutions,Unfunded,,Asia & the Pacific,India,Msonergie,Yes
Fuel & Energy Efficiency,Renewable Energy,2011,Emerging,https://myecoenergy.in,Biodiesel production company,Unfunded,,Asia & the Pacific,India,My Eco Energy,Yes
Fuel & Energy Efficiency,Renewable Energy,2011,Emerging,https://nowaste.in,Solid waste incinerator manufacturer,Unfunded,,Asia & the Pacific,India,NoWaste,Yes
Fuel & Energy Efficiency,Renewable Energy,2018,Distant,https://realelectricindia.com,Manufacturer of solar power storage products,Unfunded,,Asia & the Pacific,India,Real Electric India,Yes
Fuel & Energy Efficiency,Renewable Energy,2018,Distant,https://reehpp.com,Developer of high-performance energy storage products,Unfunded,,Asia & the Pacific,India,REEPL,Yes
Fuel & Energy Efficiency,Renewable Energy,2012,Emerging,https://savino.co.in,Manufacturer and supplier of solar powered products,Unfunded,,Asia & the Pacific,India,Savino,Yes
Fuel & Energy Efficiency,Renewable Energy,2019,Distant,https://shivomdayalenergies.com,Producer of bioethanol and bio-based lubricants,Unfunded,,Asia & the Pacific,India,ShivOm Dayal Energies,Yes
Fuel & Energy Efficiency,Renewable Energy,2012,Emerging,https://solin.co.in,Manufacturer and distributor of solar panels and solar powered products,Unfunded,,Asia & the Pacific,India,SOLIN,Yes
Fuel & Energy Efficiency,Renewable Energy,2017,Distant,https://sunmobility.co.in,Battery swapping infrastruture for electric vehicles,Funded,,Asia & the Pacific,India,SUN Mobility,Yes
